The groups table. 

TABLE NAME	COLUMN NAME						DATA TYPE	TYPE NAME	PRECISION	LENGTH		SCALE	RADIX	NULLABLE	REMARKS	COLUMN DEF	SQL DATA TYPE	SQL DATETIME SUB	CHAR OCTET LENGTH	ORDINAL POSITION	IS NULLABLE	SS DATA TYPE
	
 
EcomGroups 	GroupID 						-9 			nvarchar 	255 		510 		NULL	NULL	0 			NULL	NULL		-9 				NULL				510 				1 					NO 			39 	 
EcomGroups 	GroupLanguageID 				-9 			nvarchar 	50 			100 		NULL	NULL	0 			NULL	NULL		-9 				NULL				100 				2 					NO		 	39 	 
EcomGroups 	GroupName 						-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				3 					YES 		39 	 
EcomGroups 	GroupNumber 					-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				4		 			YES 		39 	 
EcomGroups 	GroupPageIDRel				 	4 			int 		10 			4 			0		10 		1 			NULL	((0)) 		4 				NULL				NULL				5		 			YES 		38 	 
EcomGroups 	GroupParagraphIDRel 			4 			int 		10 			4 			0 		10 		1 			NULL	((0)) 		4 				NULL				NULL				6		 			YES 		38 	 
EcomGroups 	GroupSmallImage 				-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				7 					YES 		39 	 
EcomGroups 	GroupLargeImage 				-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				8 					YES 		39 	 
EcomGroups 	GroupDescription 				-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646	 		9 					YES 		39 	 
EcomGroups 	GroupAssortment 				-7 			bit 		1 			1 			NULL	NULL	1 			NULL	((0)) 		-7 				NULL				NULL				10 					YES 		50 	 
EcomGroups 	GroupIcon 						-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				11 					YES 		39 	 
EcomGroups 	GroupNavigationShowInMenu 		-7 			bit 		1 			1 			NULL	NULL	1 			NULL	NULL		-7 				NULL				NULL				12 					YES 		50 	 
EcomGroups 	GroupNavigationShowInSiteMap 	-7 			bit 		1 			1 			NULL	NULL	1 			NULL	NULL		-7 				NULL				NULL				13 					YES 		50 	 
EcomGroups 	GroupNavigationClickable 		-7 			bit 		1 			1 			NULL	NULL	1 			NULL	NULL		-7 				NULL				NULL				14 					YES 		50 	 
EcomGroups 	GroupInheritOrderLineFields 	-7 			bit 		1 			1 			NULL	NULL	1 			NULL	NULL		-7 				NULL				NULL				15 					YES 		50 	 
EcomGroups 	GroupMetaTitle 					-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				16 					YES 		39 	 
EcomGroups 	GroupMetaKeywords 				-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646	 		17 					YES 		39 	 
EcomGroups 	GroupMetaDescription 			-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646 			18 					YES 		39 	 
EcomGroups 	GroupMetaUrl 					-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646 			19 					YES 		39 	 
EcomGroups 	GroupRelatedProducts 			-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646 			20 					YES 		39 	 
  Page 1 of 2

  
TABLE NAME	COLUMN NAME						DATA TYPE	TYPE NAME	PRECISION	LENGTH		SCALE	RADIX	NULLABLE	REMARKS	COLUMN DEF	SQL DATA TYPE	SQL DATETIME SUB	CHAR OCTET LENGTH	ORDINAL POSITION	IS NULLABLE	SS DATA TYPE
	
 
EcomGroups 	GroupRelatedGroups 				-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646 			21 					YES 		39 	 
EcomGroups 	GroupManufacturerID 			-9 			nvarchar 	255	 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				22 					YES 		39 	 
EcomGroups 	GroupVatGroupID 				-9 			nvarchar 	255		 	510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				23 					YES 		39 	 
EcomGroups 	GroupProductType 				4 			int 		10 			4 			0 		10 		1 			NULL	NULL		4 				NULL				NULL				24 					YES 		38 	 
EcomGroups 	GroupStockGroupID 				-9 			nvarchar 	50 			100 		NULL	NULL	1 			NULL	NULL		-9 				NULL				100 				25 					YES 		39 	 
EcomGroups 	ProductCategoryID 				-9 			nvarchar 	50 			100 		NULL	NULL	1 			NULL	NULL		-9 				NULL				100 				26 					YES 		39 	 
EcomGroups 	GroupFilterPagedQueryMode	 	4 			int 		10 			4 			0 		10 		1		 	NULL	NULL		4 				NULL				NULL				27 					YES		 	38 	 
  Page 2 of 2
