The manufacturers table. 

TABLE NAME			COLUMN NAME					DATA TYPE	TYPE NAME	PRECISION	LENGTH		SCALE	RADIX	NULLABLE	REMARKS	COLUMN DEF	SQL DATA TYPE	SQL DATETIME SUB	CHAR OCTET LENGTH	ORDINAL POSITION	IS NULLABLE	SS DATA TYPE
	
 
EcomManufacturers 	ManufacturerID 				-9 			nvarchar 	50 			100 		NULL	NULL	0 			NULL	NULL		-9 				NULL				100 				1 					NO		 	39 	 
EcomManufacturers 	ManufacturerName 			-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				2 					YES 		39 	 
EcomManufacturers 	ManufacturerAddress		 	-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				3 					YES 		39 	 
EcomManufacturers 	ManufacturerZipCode 		-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				4 					YES 		39 	 
EcomManufacturers 	ManufacturerCity 			-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				5 					YES 		39 	 
EcomManufacturers 	ManufacturerCountry 		-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				6 					YES 		39 	 
EcomManufacturers 	ManufacturerPhone 			-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				7 					YES 		39 	 
EcomManufacturers 	ManufacturerFax 			-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				8 					YES 		39 	 
EcomManufacturers 	ManufacturerEmail 			-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				9 					YES 		39 	 
EcomManufacturers 	ManufacturerWeb 			-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				10	 				YES 		39 	 
EcomManufacturers 	ManufacturerLogo 			-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				11	 				YES 		39 	 
EcomManufacturers 	ManufacturerDescription 	-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646 			12	 				YES 		39 	 
 
