The products table. 


TABLE NAME		COLUMN NAME								DATA TYPE	TYPE NAME	PRECISION	LENGTH		SCALE	RADIX	NULLABLE	REMARKS	COLUMN DEF	SQL DATA TYPE	SQL DATETIME SUB	CHAR OCTET LENGTH	ORDINAL POSITION	IS NULLABLE	SS DATA TYPE
	
 
EcomProducts 	ProductID 								-9 			nvarchar 	30 			60 			NULL	NULL	0 			NULL	NULL		-9 				NULL				60 					1 					NO		 	39 	 
EcomProducts 	ProductLanguageID 						-9 			nvarchar 	50 			100 		NULL	NULL	0 			NULL	NULL		-9 				NULL				100 				2 					NO		 	39 	 
EcomProducts 	ProductVariantID		 				-9 			nvarchar 	255 		510 		NULL	NULL	0 			NULL	NULL		-9 				NULL				510 				3 					NO 			39 	 
EcomProducts 	ProductDefaultShopID 					-9 			nvarchar 	50 			100 		NULL	NULL	1 			NULL	NULL		-9 				NULL				100 				4 					YES 		39 	 
EcomProducts 	ProductNumber 							-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				5 					YES 		39 	 
EcomProducts 	ProductName 							-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				6 					YES 		39 	 
EcomProducts 	ProductShortDescription 				-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646		 	7 					YES 		39 	 
EcomProducts 	ProductLongDescription 					-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646		 	8 					YES 		39 	 
EcomProducts 	ProductImageSmall 						-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				9 					YES 		39 	 
EcomProducts 	ProductImageMedium			 			-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				10 					YES 		39 	 
EcomProducts 	ProductImageLarge 						-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				11 					YES 		39 	 
EcomProducts 	ProductLink1 							-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				12 					YES 		39 	 
EcomProducts 	ProductLink2 							-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				13 					YES 		39 	 
EcomProducts 	ProductPrice 							6 			float 		15 			8 			NULL	10 		1 			NULL	((0)) 		6 				NULL				NULL				14 					YES 		109 	 
EcomProducts 	ProductStock 							6 			float 		15 			8 			NULL	10 		1 			NULL	((0)) 		6 				NULL				NULL				15 					YES 		109 	 
EcomProducts 	ProductStockGroupID 					-9 			nvarchar 	50 			100 		NULL	NULL	1 			NULL	NULL		-9 				NULL				100 				16 					YES 		39 	 
EcomProducts 	ProductWeight 							6 			float 		15 			8 			NULL	10 		1 			NULL	((0)) 		6 				NULL				NULL				17 					YES 		109 	 
EcomProducts 	ProductVolume 							6 			float 		15 			8 			NULL	10 		1 			NULL	((0)) 		6 				NULL				NULL				18 					YES 		109 	 
EcomProducts 	ProductVatGrpID 						-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				19 					YES 		39 	 
